이름,생년월일,연령,성별,휴대폰번호,이메일,주소,아이디,가입일,차량구분,구매한 제품,친환경차,제품 구매 날짜,거래 금액,거래 방식,제품 구매 빈도,제품 구매 경로,제품 출시년월,지역,고객 세그먼트
Andrei Petrov,1988-07-14,37,남,668 075 420,tymoteusz96@ppuh.pl,"aleja Jesionowa 81, 91-405 Tarnowskie Góry",kornelia81,2022-12-04,준중형 해치백,K2,False,2024-04-23,20527145,계좌이체,3,오프라인,2022-06,동유럽,2
Stefan Petrov,1982-03-08,43,여,511 898 053,nchochol@grupa.pl,"al. Piwna 124, 79-843 Stargard Szczeciński",oskarskolik,2022-05-29,대형 SUV,Syros,False,2023-09-08,19820370,신용카드,3,오프라인,2019-03,동유럽,2
Stefan Dimitrov,1971-11-14,54,남,+48 692 245 064,tadeuszkolodziejak@hotmail.com,"aleja Tysiąclecia 028, 16-750 Zielona Góra",bartekwawrzenczyk,2024-10-11,준중형 해치백,Pegas,False,2025-02-22,55116612,신용카드,1,온라인,2019-02,동유럽,0
Nina Dimitrov,1976-05-01,49,남,736 076 263,khelak@lemiesz-matyszczak.com,"ul. Chmielna 31, 32-008 Włocławek",nurkiewiczleonard,2024-07-28,준중형 SUV,Sportage,False,2024-09-05,61868667,계좌이체,1,온라인,2019-12,동유럽,0
Andrei Varga,1966-03-05,59,여,+48 787 693 813,dyjashubert@yahoo.com,"ul. Zdrojowa 85, 62-472 Kluczbork",vdoktor,2025-01-30,준대형 세단,K3,False,2025-03-24,34741738,계좌이체,1,온라인,2020-12,동유럽,3
Elena Novak,1969-10-13,56,여,+48 720 815 485,czesakigor@zwara.pl,"ulica Szeroka 097, 56-340 Poznań",augustynekryszard,2022-04-24,준중형 SUV,Telluride,False,2024-11-06,20497995,신용카드,1,온라인,2019-07,동유럽,3
Nina Kovacs,1982-04-28,43,남,+48 608 448 947,ankiewicznatasza@ppuh.pl,"plac Owocowa 823, 11-757 Ciechanów",tolamikita,2023-02-21,준대형 SUV,K4,False,2024-07-21,27318166,현금,2,오프라인,2023-09,동유럽,3
Elena Varga,1974-07-09,51,남,+48 881 151 302,kaja64@yahoo.com,"al. Kochanowskiego 75/14, 42-866 Kielce",kamilrozmiarek,2022-12-28,준대형 세단,Cerato,False,2024-04-28,60556908,계좌이체,5,온라인,2021-02,동유럽,1
Elena Novak,1997-09-21,28,여,602 935 533,kontnyjozef@interia.pl,"al. Spokojna 302, 85-451 Zgierz",cieniuchdominik,2023-06-22,준중형 세단,Carens MPV,False,2024-06-08,35746181,계좌이체,6,오프라인,2020-07,동유럽,2
Katarina Nowak,1973-04-30,52,남,+48 782 160 090,lupinabruno@fundacja.com,"ulica Czereśniowa 25, 83-974 Chojnice",gaja62,2023-04-17,픽업트럭,Rio(pride),False,2024-05-05,66146441,신용카드,1,온라인,2023-07,동유럽,0
Luka Petrov,1986-03-28,39,남,888 220 434,jzygmuntowicz@gniewek-szrama.org,"plac Piekarska 05, 73-479 Rybnik",chlebekadrian,2023-06-27,준대형 세단,EV6,True,2025-01-11,29047914,신용카드,6,온라인,2022-02,동유럽,2
Tomasz Horvat,1984-01-26,41,남,+48 693 707 744,szatkojacek@stowarzyszenie.com,"ul. Piaskowa 37/95, 12-821 Kwidzyn",olgierdlagiewka,2023-05-13,준대형 세단,KX7,False,2025-03-14,56022639,현금,5,온라인,2020-01,동유럽,1
Andrei Horvat,1989-03-06,36,여,22 811 66 57,ijaniszek@malewicz.org,"pl. Tulipanowa 23, 62-374 Sosnowiec",filip69,2024-12-31,준대형 SUV,KX7,False,2025-01-29,30074618,계좌이체,2,온라인,2018-12,동유럽,3
Luka Kovacs,1986-04-14,39,남,+48 575 715 877,grymuzaalbert@spoldzielnia.org,"aleja Azaliowa 18, 23-995 Wałbrzych",ewelinapacholczak,2023-03-04,대형 세단,Seltos,False,2024-10-24,28372484,신용카드,1,온라인,2023-03,동유럽,3
Tomasz Novak,1988-05-28,37,남,32 318 55 77,krenckornel@gmail.com,"plac Malczewskiego 24/84, 58-072 Głogów",cierpkaanastazja,2023-09-19,준중형 SUV,Tucson(NX4),False,2023-09-27,36725107,현금,5,온라인,2021-04,동유럽,2
Tomasz Petrov,1981-06-29,44,남,511 280 947,tymon05@dziewior.pl,"aleja Rzemieślnicza 302, 55-337 Tarnów",maksymiliansularz,2024-05-15,대형 SUV,K4,False,2024-06-01,49567439,현금,2,온라인,2018-09,동유럽,0
Elena Varga,1976-10-23,49,여,+48 728 415 091,hdycha@walencik-szatanik.com,"aleja Kwiatowa 40, 30-445 Wągrowiec",qklaus,2022-10-26,준중형 세단,Sonet,False,2023-09-08,30032817,계좌이체,2,온라인,2022-08,동유럽,3
Andrei Popescu,1973-01-10,52,남,692 609 173,pysznyanna-maria@kolata.pl,"aleja Bema 29/74, 15-537 Piekary Śląskie",mejerjerzy,2022-04-12,준중형 SUV,K4,False,2022-10-15,19382675,현금,1,온라인,2019-02,동유럽,3
Anya Varga,1970-10-25,55,여,+48 783 599 227,mieszko76@fundacja.pl,"ulica Mazowiecka 40, 23-027 Środa Wielkopolska",stocheljacek,2023-04-13,픽업트럭,Seltos,False,2023-07-05,38761647,현금,2,온라인,2021-05,동유럽,3
Elena Ivanov,1966-06-27,59,남,518 224 502,fryczelzbieta@yahoo.com,"plac Czereśniowa 514, 18-856 Bielsko-Biała",xcalik,2024-10-19,준대형 세단,EV6,True,2025-02-24,32176575,계좌이체,1,오프라인,2018-12,동유럽,3
Elena Nowak,1996-11-29,29,여,32 124 44 33,ryszard58@latko-maslon.pl,"pl. Kusocińskiego 96, 18-502 Elbląg",fkuznia,2022-06-30,준중형 세단,Sonet,False,2023-06-16,51260296,계좌이체,1,오프라인,2019-12,동유럽,0
Marek Popescu,1967-11-10,58,남,884 459 406,marcel25@yahoo.com,"al. Dworska 220, 40-401 Kielce",fabianklos,2024-11-01,준대형 SUV,KX3,False,2025-02-03,47948615,계좌이체,2,오프라인,2018-01,동유럽,0
Stefan Balazs,1990-12-31,35,남,662 456 878,reckoryszard@wenzel.pl,"plac Podgórna 39/28, 38-703 Brzeg",bartek77,2024-12-22,준대형 SUV,Forte,False,2025-01-22,67564691,계좌이체,1,오프라인,2020-01,동유럽,0
Anya Ivanov,1997-07-11,28,여,+48 699 088 109,florianmonika@spoldzielnia.net,"plac Szkolna 10, 94-093 Płońsk",gchaba,2023-08-20,중형 세단,KX5,False,2023-11-13,53873716,신용카드,1,오프라인,2019-06,동유럽,0
Andrei Varga,1980-07-28,45,남,739 827 349,robert64@wozniczko-huber.org,"pl. Dębowa 810, 56-546 Pabianice",ffabiszak,2024-10-22,준중형 해치백,KX1,False,2025-02-19,23217004,계좌이체,1,오프라인,2018-08,동유럽,3
Tomasz Popescu,1992-01-12,33,남,+48 514 554 367,franiaksonia@grupa.pl,"plac Pogodna 23/44, 65-891 Konin",ingacimoch,2022-08-05,중형 SUV,Sorento,False,2025-02-07,68629732,신용카드,1,오프라인,2023-09,동유럽,0
Stefan Horvat,1995-03-04,30,남,667 697 678,krauzmarcin@interia.pl,"al. Wojska Polskiego 93, 48-463 Płońsk",rparzyszek,2022-06-02,준대형 SUV,Pegas,False,2023-07-29,19127549,현금,1,오프라인,2022-07,동유럽,3
Ivan Nowak,1982-01-23,43,남,+48 796 419 808,ernest43@fpuh.com,"ulica Rózana 19/06, 74-680 Lubin",buchaliknataniel,2023-12-25,대형 SUV,K2,False,2024-03-30,64357448,계좌이체,1,오프라인,2020-12,동유럽,0
Marek Varga,1970-06-22,55,남,728 904 062,wmietus@yahoo.com,"al. Ceglana 546, 59-576 Pruszcz Gdański",znickel,2022-12-08,대형 세단,C'eed CUV,False,2024-06-08,59470044,계좌이체,5,온라인,2021-11,동유럽,1
Andrei Horvat,1999-02-07,26,여,+48 506 630 496,kniazadam@interia.pl,"aleja Poziomkowa 06/49, 85-879 Kędzierzyn-Koźle",dziurlaradoslaw,2024-05-27,준대형 세단,K3,False,2024-06-11,45319000,신용카드,2,온라인,2021-03,동유럽,0
Andres Cruz,1966-03-31,59,남,302-488-7646x1132,estefaniapolanco@pantoja-quintanilla.org,"Viaducto Sur Berríos 775 Edif. 802 , Depto. 188, Vieja Dinamarca, BCS 80695",fernandezaurora,2024-10-31,중형 SUV,Forte,False,2025-03-13,66238483,계좌이체,1,오프라인,2020-11,멕시코,0
Juan Rivera,1971-11-06,54,여,07693110310,juliorojo@corporacin.com,"Avenida Tailandia 761 Edif. 386 , Depto. 906, Nueva Nueva Zelandia, OAX 90629",hernandezirene,2022-08-22,준대형 세단,Accent (HC),False,2022-10-26,47036156,현금,1,온라인,2020-06,멕시코,0
Lucia Torres,1985-11-21,40,여,1-625-449-0878x0158,cantuflavio@gmail.com,"Continuación Andorra 754 505, Nueva Bulgaria, QRO 55149-0347",martin76,2023-06-05,픽업트럭,Carens MPV,False,2024-04-13,47836760,계좌이체,1,온라인,2020-02,멕시코,0
Lucia Rivera,1979-04-15,46,여,722.745.1776x304,miramonteseloisa@briones-hernandes.com,"Boulevard Myanmar 383 Edif. 642 , Depto. 855, Vieja Estonia, CAMP 33773-1809",zacariasferrer,2022-11-23,준중형 세단,Telluride,False,2025-03-03,60083844,계좌이체,1,오프라인,2019-01,멕시코,0
Camila Carlos,1969-10-25,56,여,384-038-3642x51179,fmenchaca@salcido.com,"Diagonal Acosta 901 Edif. 009 , Depto. 958, San Abigail los altos, COL 53227",narias,2023-07-19,소형 해치백,Sportage,False,2024-09-16,49689201,현금,2,온라인,2018-12,멕시코,0
Renata Hernandez,1982-08-12,43,남,1-880-047-2457x126,hde-la-o@gmail.com,"Andador Zamudio 154 668, Vieja Saint Kitts y Nevis, VER 25539-6116",marcos80,2023-07-25,픽업트럭,Syros,False,2023-07-30,29237164,계좌이체,1,온라인,2019-01,멕시코,3
Renata Torres,1988-05-09,37,남,245.897.4196x453,micaela39@yahoo.com,"Avenida Sur Zamudio 583 Edif. 305 , Depto. 398, Nueva Micronesia, CHIH 59927-1147",gregoriomagana,2022-11-30,중형 세단,Syros,False,2023-10-23,28074357,현금,2,온라인,2020-08,멕시코,3
Diego Navarro,1990-12-11,35,남,659.423.2361x78961,villasenorgerardo@yahoo.com,"Circunvalación Querétaro 707 522, Vieja Australia, MEX 06567",curielmiriam,2023-04-11,대형 세단,K3,False,2024-12-26,66159464,계좌이체,1,온라인,2018-11,멕시코,0
Lucia Carlos,1998-02-11,27,여,149-981-2917x999,wendolinbaca@ruelas.com,"Callejón Sur Viera 716 Edif. 102 , Depto. 014, San Soledad los altos, AGS 14992-2892",jiminezarturo,2023-10-21,픽업트럭,Seltos,False,2024-07-21,52711824,현금,2,온라인,2021-11,멕시코,0
Renata Vargas,1998-10-11,27,남,(153)174-7059,liliana41@montanez.biz,"Continuación Sur Magaña 202 129, Vieja Turkmenistán, PUE 16265-7712",rubyarmenta,2024-03-28,소형 해치백,Carens MPV,False,2025-03-18,65555366,현금,1,오프라인,2018-09,멕시코,0
Andres Romero,1966-03-12,59,남,+28(5)5823238516,velezabigail@grupo.com,"Diagonal Norte Briseño 342 Interior 309, San Octavio de la Montaña, CHIH 54488-0873",lbarraza,2024-12-05,준중형 해치백,Pegas,False,2025-02-24,24365843,계좌이체,1,오프라인,2021-09,멕시코,3
Camila Carlos,1971-02-27,54,여,(639)833-5049,crojas@porras.org,"Eje vial Colombia 056 Interior 141, Nueva Honduras, COAH 19629",olgamarquez,2022-11-23,소형 해치백,Tucson(NX4),False,2024-04-23,54845561,현금,3,온라인,2020-10,멕시코,1
Miguel Rivera,1967-08-04,58,남,763-971-9103x3892,gzelaya@despacho.com,"Prolongación Venegas 739 316, San Frida los altos, TAB 79887",karanda,2022-08-15,중형 SUV,Accent (HC),False,2024-10-05,38143245,현금,4,오프라인,2018-11,멕시코,2
Lucia Navarro,1975-09-28,50,남,(906)765-3363,caballeroreina@muro.com,"Diagonal San Luis Potosí 162 614, Vieja Chad, CHIH 80225",rubiojonas,2022-06-14,대형 SUV,Telluride,False,2025-01-23,54977935,신용카드,1,온라인,2022-01,멕시코,0
Diego Torres,1982-12-30,43,여,(215)057-4455,trejojose-maria@zambrano-barela.net,"Circuito Baja California 777 Interior 905, San Hugo los altos, SON 15598",miguel-angelaponte,2023-10-04,준중형 SUV,Optima / K5,False,2024-12-09,53344231,신용카드,2,온라인,2023-07,멕시코,0
Camila Morales,1997-06-12,28,여,333-565-5948,vmontemayor@yahoo.com,"Callejón Kuwait 494 352, Nueva Bahrein, PUE 11527-2773",abelardocolunga,2025-03-29,준중형 SUV,Carnival (CKD),False,2025-03-30,21868179,신용카드,1,온라인,2019-03,멕시코,3
Camila Vargas,1981-09-30,44,남,+76(5)5803985872,alejandroabraham@grupo.com,"Corredor Eslovenia 575 Interior 514, Nueva Etiopía, MICH 37908",juan09,2025-03-26,중형 세단,Pegas,False,2025-03-30,25103900,신용카드,5,온라인,2022-04,멕시코,2
Lucia Morales,1980-03-22,45,남,675.845.7694x15867,bianca11@hotmail.com,"Privada Berríos 987 169, San Jorge Luis los bajos, SLP 81244-3222",tafoyamicaela,2024-03-01,픽업트럭,K5,False,2024-11-23,24489465,계좌이체,1,오프라인,2018-01,멕시코,3
Antonio Morales,1984-01-31,41,남,296-934-7215x084,hernandesjaime@arreola-aranda.org,"Callejón Aguascalientes 063 338, San Abril de la Montaña, BCS 90131-9850",jose-emilio20,2023-09-19,준대형 SUV,Accent (HC),False,2025-03-06,34592964,신용카드,2,온라인,2022-01,멕시코,3
Juan Torres,1992-04-02,33,남,08741851954,judith84@yahoo.com,"Corredor Sur Sierra 104 Interior 288, Nueva Croacia, GRO 47720-3348",nicolasbarajas,2022-08-28,대형 SUV,C'eed,False,2024-12-05,26089191,현금,1,오프라인,2020-02,멕시코,3
Antonio Vargas,1975-03-17,50,남,697.224.6019x308,zeferino70@hotmail.com,"Calle Irlanda 614 768, San Daniel los altos, JAL 01543",gloriarivas,2022-04-06,준중형 해치백,Tucson(NX4),False,2023-08-07,31014590,현금,1,온라인,2023-08,멕시코,3
Miguel Martinez,1973-05-24,52,여,(345)292-7863,barragannelly@barrios-gollum.com,"Calzada Yucatán 453 Edif. 748 , Depto. 344, Vieja Israel, TAB 94038",dgracia,2024-03-17,중형 세단,Seltos,False,2025-03-26,50931126,현금,1,오프라인,2019-07,멕시코,0
Diego Morales,1974-07-07,51,남,00269894506,indira05@yahoo.com,"Circuito Guyana 467 488, Nueva Dominicana, DGO 96256-1476",qcollado,2024-09-06,대형 세단,K5,False,2024-11-16,36716917,계좌이체,4,오프라인,2019-10,멕시코,2
Valeria Navarro,1992-09-29,33,여,753.939.3003x446,ocarrera@gmail.com,"Eje vial Morelos 400 Interior 056, Vieja Bulgaria, NL 48707-0788",harmas,2023-11-01,소형 해치백,K5,False,2024-03-03,22950765,현금,3,오프라인,2019-06,멕시코,2
Miguel Torres,1974-10-15,51,남,296.234.0910,nde-la-cruz@hotmail.com,"Corredor Sur Zayas 310 Interior 604, San Raúl de la Montaña, Q. ROO 23479-6469",acunasergio,2023-05-13,대형 세단,Forte,False,2024-06-04,61945090,신용카드,1,오프라인,2022-04,멕시코,0
Sofia Romero,1986-05-02,39,남,1-911-369-6626x0933,quinonezelias@casillas.info,"Eje vial Colima 872 Edif. 249 , Depto. 795, San Dulce los altos, MICH 36567",gloria30,2022-04-25,중형 세단,Pegas,False,2023-08-28,41952489,계좌이체,1,오프라인,2019-05,멕시코,3
Camila Rivera,1977-08-23,48,여,854-512-9772x483,mauriciomiranda@martinez.com,"Calzada Delgado 914 Edif. 037 , Depto. 229, Vieja Liberia, VER 56586",sonia34,2023-12-01,대형 세단,KX3,False,2025-03-08,50631353,신용카드,1,온라인,2018-02,멕시코,0
Valeria Vargas,1980-11-29,45,여,289-828-1368x33652,mercedes54@bueno.com,"Ampliación Sur Rocha 311 Edif. 374 , Depto. 959, San Leonor los altos, DGO 32449-9596",uramirez,2024-12-20,준중형 SUV,Forte,False,2025-03-12,53561784,신용카드,2,온라인,2022-07,멕시코,0
Renata Hernandez,1971-10-27,54,여,(615)031-5219x72456,alcarazjuan@hotmail.com,"Periférico Chávez 178 Edif. 907 , Depto. 091, San Ana los bajos, NAY 74610-8280",anayacitlali,2024-01-29,대형 SUV,Seltos,False,2024-06-08,64599868,계좌이체,3,온라인,2023-03,멕시코,1
Sofia Romero,1989-11-24,36,남,699.295.0398x20028,eva13@hotmail.com,"Pasaje Chiapas 243 936, Vieja Honduras, YUC 92706-0425",kbarraza,2022-05-05,준대형 SUV,KX7,False,2023-07-03,22102814,신용카드,1,온라인,2023-06,멕시코,3
Diego Torres,1998-01-01,27,남,07697033944,amalia23@yahoo.com,"Calle Sur Benavides 801 Edif. 942 , Depto. 897, Vieja Estonia, CHIH 22882-0497",nortega,2024-05-16,소형 해치백,Zhipao,False,2024-06-05,29616131,신용카드,1,오프라인,2020-06,멕시코,3
Sofia Cruz,1972-08-07,53,여,684.658.4106,maria-joseolivera@despacho.com,"Cerrada Quintana 160 Edif. 973 , Depto. 051, Vieja Rumania, SIN 78361",rodrigo59,2024-02-26,준대형 세단,K3,False,2025-03-21,61830628,현금,4,오프라인,2020-02,멕시코,1
Diego Navarro,1976-06-05,49,남,04127492571,alejandramesa@hotmail.com,"Corredor Tabasco 739 Interior 419, San Miguel de la Montaña, MEX 27271",penamercedes,2024-10-13,대형 세단,Rio(pride),False,2025-03-16,55406908,현금,1,오프라인,2023-06,멕시코,0
Miguel Cruz,1987-09-27,38,여,07871258010,gvargas@corporacin.biz,"Privada Brasil 595 767, Nueva Austria, CHIS 96206",adan98,2024-03-31,준중형 해치백,Pegas,False,2025-03-01,60614256,현금,3,온라인,2021-02,멕시코,1
Andres Cruz,1970-09-15,55,남,884-964-0543,abelardo68@laboratorios.com,"Boulevard Suriname 306 Interior 274, Nueva San Vicente y las Granadinas, DGO 01453",vjaimes,2025-01-03,픽업트럭,Optima / K5,False,2025-01-09,54472380,신용카드,2,오프라인,2019-09,멕시코,0
Andres Cruz,1973-01-17,52,남,543.644.4891x24785,chavarriaadalberto@club.org,"Avenida Canales 464 720, Nueva Nicaragua, PUE 91498-7322",oteroines,2022-11-20,대형 세단,Tucson(NX4),False,2023-02-18,55512757,현금,3,온라인,2022-07,멕시코,1
Miguel Rivera,1965-12-11,60,여,904.907.6670x42647,luisa80@ortega.com,"Circunvalación Sur Galarza 455 Interior 625, San Celia de la Montaña, SON 06304-4167",normalovato,2024-09-20,중형 SUV,KX7,False,2025-03-18,51206847,신용카드,1,온라인,2022-04,멕시코,0
Lucia Hernandez,1985-02-20,40,여,1-352-561-0369,gcazares@montanez.net,"Eje vial Díaz 859 Edif. 232 , Depto. 975, Nueva Rumania, CHIH 69743",klovato,2023-11-24,픽업트럭,KX5,False,2024-11-16,19627497,신용카드,2,오프라인,2020-06,멕시코,3
Camila Romero,1997-09-21,28,여,1-159-683-2408,uribearturo@despacho.com,"Circunvalación Sur Soto 100 Edif. 639 , Depto. 399, Nueva Bolivia, GTO 76023-4315",wmojica,2024-11-18,준대형 SUV,K5,False,2025-01-10,35249049,현금,1,온라인,2023-09,멕시코,3
Juan Navarro,1987-11-05,38,남,113.436.0607x71313,elvira76@grupo.com,"Viaducto Zambia 926 Interior 675, Nueva Bhután, PUE 03007",jquintanilla,2022-06-12,대형 SUV,Carnival,False,2022-08-16,26664101,현금,4,오프라인,2023-05,멕시코,2
Lucia Morales,1965-05-14,60,여,1-327-234-2030x951,maria-teresa41@club.com,"Callejón Sonora 998 Edif. 450 , Depto. 837, Vieja Maldivas, Q. ROO 09247-4010",lealdolores,2022-12-15,준중형 세단,Telluride,False,2022-12-17,19627721,현금,1,온라인,2019-11,멕시코,3
Antonio Torres,1973-11-28,52,여,05853654435,pmunoz@perea.com,"Peatonal Holguín 971 161, Vieja El Salvador, JAL 14343",socorrosegura,2024-07-29,준대형 세단,Sportage,False,2024-12-01,61883739,계좌이체,4,오프라인,2023-04,멕시코,1
Sofia Cruz,1977-08-16,48,여,(263)015-7794,melendezteodoro@ybarra.info,"Peatonal Ocampo 384 Edif. 123 , Depto. 611, Nueva Mali, YUC 80619",cabrerajose-carlos,2023-09-21,픽업트럭,Carnival (CKD),False,2024-01-03,58732271,신용카드,2,온라인,2022-10,멕시코,0
Renata Martinez,1987-01-19,38,여,(498)767-4885x442,angelareyes@navarrete.net,"Eje vial Norte Muñiz 762 Interior 305, Nueva Bangladesh, QRO 00010",indiraflorez,2022-12-30,소형 해치백,K5,False,2024-07-04,43944969,현금,1,온라인,2022-05,멕시코,3
Diego Navarro,1970-12-28,55,남,963.317.7633,ricocarlos@club.net,"Corredor Guinea Bissau 830 Interior 621, San Felipe los altos, GTO 30651",kreynoso,2022-12-31,준대형 세단,K4,False,2024-04-01,68740119,계좌이체,1,오프라인,2021-06,멕시코,0
Valeria Morales,1970-10-26,55,여,07038486817,svelez@gmail.com,"Continuación Chad 319 341, Vieja Panamá, CHIH 17647",riverosalvador,2025-03-15,준대형 세단,Accent (HC),False,2025-03-30,19827864,현금,6,오프라인,2018-12,멕시코,2
Camila Cruz,1984-03-06,41,여,059-149-8735,cynthia23@gmail.com,"Corredor El Salvador 422 320, San Rolando de la Montaña, SON 00850-9030",urbinaleticia,2024-12-29,중형 SUV,Pegas,False,2025-01-11,32710087,현금,1,온라인,2023-06,멕시코,3
Renata Martinez,1965-01-07,60,여,(841)854-2811,lucasvillegas@gmail.com,"Callejón Norte Juárez 408 Edif. 836 , Depto. 956, Nueva Namibia, CHIH 41189-5659",alta-graciaacevedo,2023-10-26,준중형 SUV,Telluride,False,2024-03-10,67278605,현금,1,오프라인,2021-11,멕시코,0
Juan Martinez,1979-02-07,46,여,844.389.6334,asuncion67@limon.info,"Retorno Reséndez 777 Interior 471, San Débora de la Montaña, YUC 44911",juande-la-fuente,2023-02-11,준중형 세단,K3,False,2023-03-10,48166816,계좌이체,1,오프라인,2020-03,멕시코,0
Diego Carlos,1998-07-29,27,여,03659467573,anabel92@yahoo.com,"Circuito Camacho 716 Edif. 132 , Depto. 490, San Rufino de la Montaña, YUC 02424",ruby89,2023-07-03,대형 SUV,Forte,False,2024-06-11,55858692,계좌이체,1,오프라인,2020-03,멕시코,0
Valeria Hernandez,1986-03-25,39,남,+63(1)5862853233,pabongregorio@club.org,"Andador Sinaloa 421 Interior 202, San Fabiola de la Montaña, JAL 39244",jacobomaldonado,2024-12-23,준대형 세단,K4,False,2025-03-13,55621149,현금,2,오프라인,2020-01,멕시코,0
Valeria Martinez,1990-10-31,35,남,999-788-3166,francisco-javiermontez@adame.net,"Privada Norte Alonso 884 Edif. 351 , Depto. 109, Vieja Saint Kitts y Nevis, SLP 79227-0908",apolanco,2022-06-17,준중형 SUV,Tucson(NX4),False,2023-12-06,27012193,현금,3,온라인,2023-05,멕시코,2
Valeria Cruz,1982-10-08,43,여,+75(7)6279611286,dianacotto@samaniego.com,"Peatonal Sur Romero 770 Interior 740, San Óliver de la Montaña, ZAC 06385-5245",hernancaraballo,2023-06-02,준대형 세단,C'eed,False,2023-08-18,58631933,현금,2,오프라인,2021-04,멕시코,0
Renata Rivera,1968-10-29,57,남,1-705-913-6185x620,gcamacho@laboratorios.info,"Eje vial Japón 616 Edif. 350 , Depto. 232, Nueva Gambia, GTO 35480",jimenezsessa,2023-12-17,픽업트럭,KX3,False,2024-01-15,50266930,신용카드,1,오프라인,2022-05,멕시코,0
Renata Martinez,1971-01-09,54,남,(447)853-8057x94113,rafaelgarcia@industrias.org,"Privada Malave 201 Edif. 856 , Depto. 545, Vieja Congo, TAMPS 57034",pcorrales,2024-07-26,대형 SUV,Optima / K5,False,2024-09-23,28189819,계좌이체,2,온라인,2023-11,멕시코,3
Sofia Cruz,1982-11-01,43,여,(668)312-1136,laboyclemente@rodarte.com,"Cerrada Oaxaca 132 997, Vieja Tayikistán, VER 46814",santiago31,2022-06-07,준중형 해치백,K5,False,2022-07-09,34277576,신용카드,1,온라인,2020-12,멕시코,3
Lucia Morales,1974-09-17,51,남,(983)960-6518,estelasevilla@proyectos.com,"Callejón Nuevo León 919 Edif. 846 , Depto. 363, San Teodoro los bajos, TAB 61213",ocordova,2022-07-10,준대형 세단,EV5,True,2022-11-17,61396396,현금,1,온라인,2023-04,멕시코,0
Andres Romero,1997-09-14,28,남,(643)447-7287x9522,juanaestevez@hotmail.com,"Ampliación Venezuela 376 885, Nueva Côte d'Ivoire, Q. ROO 42364",lourdes01,2022-08-01,중형 SUV,Accent (HC),False,2023-08-24,55453487,계좌이체,4,온라인,2020-05,멕시코,1
Lucia Cruz,1973-04-29,52,남,502.135.1248,delgadomaria-eugenia@hotmail.com,"Eje vial Norte Anguiano 694 Edif. 206 , Depto. 802, Vieja Bosnia y Herzegovina, BC 30316-5393",arceliadelgadillo,2022-08-11,준대형 SUV,K3,False,2024-05-15,67317692,현금,4,온라인,2022-02,멕시코,1
Lucia Romero,1968-10-24,57,여,1-885-320-8884,flira@gmail.com,"Corredor Abreu 686 273, San Isaac los altos, DF 90641",violetanunez,2024-04-29,준중형 SUV,C'eed CUV,False,2025-01-05,46744789,현금,4,오프라인,2021-05,멕시코,1
Lucia Navarro,1996-11-19,29,여,1-405-319-4096,salvador59@gmail.com,"Viaducto Michoacán de Ocampo 318 Interior 021, Nueva Sudán del Sur, DGO 66631-7443",earmenta,2023-02-14,준중형 해치백,Forte,False,2023-03-18,67205825,현금,1,온라인,2022-06,멕시코,0
Juan Carlos,1977-05-15,48,남,06395911899,suarezhernan@hotmail.com,"Peatonal República Unida de Tanzanía 078 300, San Karla los bajos, HGO 56722",esmeralda83,2024-11-21,중형 SUV,K5,False,2025-02-27,29573578,현금,3,온라인,2020-10,멕시코,2
Renata Carlos,1975-07-29,50,남,091-116-0914,adanvenegas@yahoo.com,"Boulevard Uruguay 530 Interior 577, San Salvador los altos, SLP 00735",alvaradomariana,2023-07-15,대형 SUV,K2,False,2023-08-25,21936572,현금,6,오프라인,2019-06,멕시코,2
Juan Navarro,1972-02-05,53,남,236-664-9275x82063,fbetancourt@gmail.com,"Corredor Sur Velásquez 043 Edif. 678 , Depto. 206, Vieja Iraq, SON 86367-0724",espinalvioleta,2023-01-18,준중형 세단,Optima / K5,False,2024-04-29,52663331,신용카드,1,온라인,2023-05,멕시코,0
Lucia Martinez,1981-09-21,44,여,537-607-7556x22923,violeta27@yahoo.com,"Ampliación Norte Lerma 913 Interior 202, Vieja Turquía, PUE 87676-0172",torrezcristian,2022-07-19,준중형 해치백,Pegas,False,2024-12-18,26627055,신용카드,3,온라인,2020-08,멕시코,2
Camila Romero,1998-05-01,27,남,1-962-165-7688,marisolmunoz@ortega.net,"Continuación Salgado 153 Edif. 825 , Depto. 534, San Ariadna los altos, TAMPS 00540-2520",jonas79,2023-06-05,픽업트럭,Sorento,False,2024-05-24,27645169,현금,1,오프라인,2021-07,멕시코,3
Camila Rivera,1983-08-26,42,여,816-361-7296x71784,salvador39@hotmail.com,"Pasaje Yucatán 433 544, San Gabriel de la Montaña, MEX 28798",cristal67,2023-04-14,소형 해치백,C'eed CUV,False,2024-03-15,54399752,신용카드,1,오프라인,2018-10,멕시코,0
Diego Hernandez,1974-08-27,51,여,429.897.1340x3359,victorzelaya@hotmail.com,"Corredor Norte Rivera 849 620, Nueva Islas Marshall, MICH 69648-8513",amaliaescamilla,2024-03-15,대형 SUV,EV9,True,2024-12-18,41275938,신용카드,3,오프라인,2019-05,멕시코,2
Camila Cruz,1976-01-10,49,여,(602)773-0546x3999,lbustamante@moya.com,"Peatonal Uganda 743 Edif. 010 , Depto. 431, Nueva Bangladesh, AGS 88375",lanaya,2023-12-15,준대형 SUV,K2,False,2024-05-17,21983109,신용카드,1,오프라인,2018-03,멕시코,3
