이름,생년월일,연령,성별,휴대폰번호,이메일,주소,아이디,가입일,차량구분,구매한 제품,친환경차,제품 구매 날짜,거래 금액,거래방식,제품구매빈도,제품구매경로,제품출시년월,국가,고객 세그먼트,Cluster
Camila Torres,1995-09-21,30,여,525-399-1385x4131,fidel85@hotmail.com,"Circuito Guanajuato 334 Edif. 402 , Depto. 588, San Isabel de la Montaña, AGS 17108",ilara,2023-08-18,소형 해치백,i20,False,2024-02-23,21130000,현금,2,온라인,2020-05,멕시코,0,0
Miguel Cruz,1969-09-14,56,여,1-996-460-8725,fsaldivar@yahoo.com,"Eje vial Sur Negrete 247 811, Nueva Mali, DGO 98974",lucia93,2022-08-17,준대형 세단,Kona,True,2024-05-28,43570000,계좌이체,1,온라인,2022-02,멕시코,0,0
Sofia Hernandez,1970-04-17,55,남,1-516-491-9070x44519,rene23@hotmail.com,"Avenida Sur Carrero 484 Interior 252, San Lucas los bajos, CHIH 06473",tafoyamauro,2023-09-29,대형 세단,i20,False,2024-02-25,29290000,계좌이체,1,오프라인,2020-05,멕시코,0,0
강주온,2002-03-04,23,남,1065028753,janisi@himedia.co.kr,인천광역시 남동구 구월동 88-10,14798,2023-04-01,준중형 세단,Avante (CN7 N),False,2024-04-04,35170000,카드,1,오프라인,2020-05,대한민국,0,0
김경수,1983-01-02,42,남,1011112222,kimkyoungsoo31@himedia.co.kr,광주광역시 서구 치평동 14-7,kyoungsoo031,2025-02-09,준대형 세단,G80 (RG3),False,2025-02-10,85790000,카드,5,오프라인,2020-03,대한민국,3,4
김다은,1999-05-02,26,여,1067890123,kimdaeun26@himedia.co.kr,부산광역시 해운대구 우동 101-12,daeun026,2025-02-28,중형 suv,NEXO (FE),True,2025-03-10,69500000,현금,1,오프라인,2018-01,대한민국,1,1
김민수,1960-07-01,65,남,1012345678,kimminsu1@himedia.co.kr,전라남도 목포시 부주동 77-8,minsu001,2023-04-28, 중형 suv,Santa-Fe ™,False,2023-05-01,34920000,현금,1,오프라인,2018-01,대한민국,2,5
김승현,1970-03-02,55,남,1001234567,kimseunghyun20@himedia.co.kr,경기도 수원시 영통구 원천동 12-34,seunghyun020,2023-09-18,중형 세단,G70 (IK),False,2023-10-01,50230000,카드,1,오프라인,2017-09,대한민국,2,5
김영철,1959-08-03,66,남,1067890123,kimyoungcheol6@himedia.co.kr,울산광역시 남구 달동 23-5,youngcheol006,2023-02-01,중형 세단,G70 (IK),False,2023-02-01,50230000,카드,1,오프라인,2017-09,대한민국,2,5
김윤희,1998-01-02,27,여,1023456789,leesujin2@himedia.co.kr,경기도 수원시 영통구 원천동 12-34,sujin002,2023-07-11,준중형 해치백,IONIQ (AE EV),True,2023-07-18,44400000,카드,1,온라인,2016-01,대한민국,2,5
김재원,1976-01-06,49,남,1012345678,kimjaewon40@himedia.co.kr,서울특별시 종로구 청운동 67-89,jaewon040,2025-12-01,준중형 세단,Avante (CN7 HEV),True,2025-12-01,27830000,카드,1,오프라인,2020-07,대한민국,0,0
김진수,1980-04-06,45,남,1067899876,kimjinsu35@himedia.co.kr,인천광역시 남동구 구월동 88-10,jinsu035,2023-01-01,준중형 해치백,IONIQ (AE EV),True,2023-01-03,44400000,카드,1,오프라인,2016-01,대한민국,2,5
박민정,1977-08-05,48,여,1089012345,parkminjeong8@himedia.co.kr,서울특별시 종로구 청운동 67-89,minjeong008,2024-04-01, 중형 세단,IONIQ 6 (CE),True,2024-04-06,61820000,카드,1,오프라인,2022-06,대한민국,1,2
박수연,1990-11-24,35,여,1023455432,parksuyeon33@himedia.co.kr,경상남도 창원시 의창구 봉곡동 48-6,suyeon033,2024-11-08,대형 세단,G90 (HI),False,2024-12-03,99670000,현금,5,오프라인,2022-03,대한민국,3,4
박영희,1988-05-07,37,여,1034567890,parkyeonghee3@himedia.co.kr,전라북도 전주시 완산구 덕진동 33-7,yeonghee003,2023-06-07, 중형 suv,Santa-Fe (MX5 PHEV),True,2023-07-07,45980000,현금,2,오프라인,2022-06,대한민국,2,5
박준석,1997-08-05,28,남,1089012345,parkjoonseok28@himedia.co.kr,충청북도 청주시 상당구 낙실동 9-1,joonseok028,2024-12-12,준중형 세단,Avante (CN7 N),False,2025-01-02,35170000,현금,1,오프라인,2020-05,대한민국,2,5
박지수,1996-01-02,29,여,1023456789,parkjisu22@himedia.co.kr,광주광역시 서구 치평동 14-7,jisu022,2024-01-13, 중형 suv,Santa-Fe ™,False,2024-02-03,34920000,현금,2,오프라인,2018-01,대한민국,2,5
박찬우,1980-02-04,45,남,1089012345,parkchanwoo37@himedia.co.kr,경기도 성남시 분당구 정자동 56-78,chanwoo037,2023-06-28,준중형 세단,Avante (CN7 N),False,2023-08-07,35170000,카드,3,오프라인,2020-05,대한민국,3,3
이동훈,1985-01-07,40,남,1056789012,leedonghoon15@himedia.co.kr,울산광역시 남구 달동 23-5,donghoon015,2024-04-18,준대형 세단,Grandeur (GN7 HEV),True,2024-05-06,52410000,카드,1,오프라인,2022-01,대한민국,2,5
이상미,1966-07-01,59,여,1023456789,leesangmi41@himedia.co.kr,경상남도 창원시 의창구 봉곡동 48-6,sangmi041,2024-09-18, 중형 suv,Santa-Fe ™,False,2024-10-03,34920000,카드,1,오프라인,2018-01,대한민국,2,5
이상훈,1974-01-02,51,남,1045678901,leesanghoon24@himedia.co.kr,서울특별시 종로구 청운동 67-89,sanghoon024,2024-01-13,준중형 suv,Tucson (NX4 PHEV),True,2024-02-27,39500000,카드,1,오프라인,2021-05,대한민국,2,5
이상희,1972-06-01,53,남,1023456789,leeshanghee12@himedia.co.kr,경상북도 포항시 남구 대도동 19-2,shanghee012,2023-04-28,준대형 세단,Grandeur (GN7 HEV),True,2023-05-07,52410000,카드,1,오프라인,2022-01,대한민국,2,5
이은지,1988-03-06,37,남,1078901234,leeunji27@himedia.co.kr,부산광역시 해운대구 우동 101-12,unji027,2024-08-11,준대형 세단,Grandeur (GN7 HEV),True,2024-08-15,52410000,카드,1,오프라인,2022-01,대한민국,2,5
이정민,1984-05-06,41,남,1090123456,leejeongmin19@himedia.co.kr,경기도 성남시 분당구 정자동 56-78,jeongmin019,2024-01-07,중형 세단,G70 (IK),False,2024-01-15,50230000,카드,1,오프라인,2017-09,대한민국,2,5
이주호,1987-02-03,38,남,1012344321,leejooho32@himedia.co.kr,서울특별시 종로구 청운동 67-89,jooho032,2024-10-19,대형 세단,G90 (RS4),False,2024-12-16,134370000,카드,5,오프라인,2022-03,대한민국,1,1
이하늘,1989-04-03,36,남,1078901234,leehaneul36@himedia.co.kr,광주광역시 서구 치평동 14-7,haneul036,2024-09-22, 중형 suv,Santa-Fe ™,False,2024-09-25,34920000,카드,3,오프라인,2018-01,대한민국,3,4
이현주,1972-05-02,53,여,1078904754,leeheonjoo7@himedia.co.kr,전라북도 전주시 완산구 덕진동 33-7,heonjoo007,2025-01-01,준중형 해치백,IONIQ (AE EV),True,2025-01-11,44400000,카드,2,오프라인,2016-01,대한민국,2,5
정미래,1971-06-04,54,여,1090123456,jeongmirae29@himedia.co.kr,경기도 성남시 분당구 정자동 56-78,mirae029,2024-02-28,준대형 세단,Grandeur (GN7 HEV),True,2024-04-22,52410000,카드,2,오프라인,2022-01,대한민국,2,5
정미선,1975-02-04,50,남,1089012345,jeongmiseon18@himedia.co.kr,충청북도 청주시 상당구 낙실동 9-1,miseon018,2023-06-04,준중형 suv,Tucson (NX4 PHEV),True,2023-07-08,39500000,카드,1,오프라인,2021-05,대한민국,2,5
정상훈,1996-05-02,29,남,1090123456,jeongsanghoon38@himedia.co.kr,경상북도 포항시 남구 대도동 19-2,sanghoon038,2023-08-17,준대형 세단,Grandeur (GN7 HEV),True,2023-08-19,52410000,카드,1,오프라인,2022-01,대한민국,2,5
정영철,1985-04-02,40,남,1056789012,jeongyoungcheol25@himedia.co.kr,서울특별시 강남구 역삼동 123-45,youngcheol025,2024-04-08,준대형 suv,Palisade (LX2),False,2024-05-16,59460000,카드,1,오프라인,2018-12,대한민국,1,1
정은혜,2001-04-06,24,여,1056788765,jeongeunhye100@himedia.co.kr,서울특별시 종로구 청운동 67-89,eunhye100,2024-08-13,준중형 세단,Avante (CN7 N),False,2024-09-11,35170000,카드,1,오프라인,2020-05,대한민국,0,0
정지우,1983-02-04,42,남,1045678901,jeongjiwoo14@himedia.co.kr,경기도 수원시 영통구 원천동 12-34,jiwoo014,2024-07-20,준중형 해치백,i30 (PD),False,2024-07-28,25560000,카드,1,오프라인,2017-03,대한민국,0,0
정태수,1962-05-06,63,남,1001234567,jeongtaesu10@himedia.co.kr,서울특별시 종로구 청운동 67-89,taesu010,2024-11-18,준대형 세단,Grandeur (GN7 HEV),True,2024-12-25,52410000,카드,1,오프라인,2022-01,대한민국,2,5
정하윤,1999-07-07,26,여,1056789012,jeonghayun5@himedia.co.kr,충청남도 천안시 동남구 성성동 22-3,hayun005,2024-11-11,준중형 해치백,i30 (PD),False,2024-11-18,25560000,카드,2,오프라인,2017-03,대한민국,0,0
최강호,1992-04-05,33,남,1078901234,choikangho17@himedia.co.kr,울산광역시 남구 달동 23-5,kangho017,2024-01-10,준중형 해치백,IONIQ (AE EV),True,2024-01-16,44400000,카드,1,온라인,2016-01,대한민국,2,5
최민우,1977-05-02,48,남,1034567890,choiminwoo13@himedia.co.kr,경기도 성남시 분당구 정자동 56-78,minwoo013,2024-05-11,준대형 suv,Palisade (LX2),False,2024-06-28,59460000,카드,1,오프라인,2018-12,대한민국,1,2
최영호,1966-03-02,59,남,1034567890,choiyeongho23@himedia.co.kr,경기도 성남시 분당구 정자동 56-78,yeongho023,2025-01-01,준중형 세단,Avante (CN7 N),False,2025-01-11,35170000,카드,1,오프라인,2020-05,대한민국,0,0
최지훈,1978-09-05,47,남,1045678901,choijihun4@himedia.co.kr,충청남도 천안시 동남구 성성동 22-3,jihun004,2023-03-28,준중형 해치백,i30 (PD),False,2023-04-25,25560000,카드,1,오프라인,2017-03,대한민국,0,0
한서희,1975-03-05,50,여,1012345678,kimhana11@himedia.co.kr,서울특별시 종로구 청운동 67-89,hana011,2024-05-18,준중형 해치백,IONIQ (AE EV),True,2024-06-02,44400000,카드,1,오프라인,2016-01,대한민국,2,5
한예빈,1997-08-01,28,여,1067890123,parksoyeong16@himedia.co.kr,충청북도 청주시 상당구 낙실동 9-1,soyeong016,2024-06-28, 중형 suv,Santa-Fe ™,False,2024-07-08,34920000,카드,1,오프라인,2018-01,대한민국,2,5
홍상훈,1994-12-01,31,남,1001234567,hongsanghoon30@himedia.co.kr,부산광역시 해운대구 우동 101-12,sanghoon030,2024-02-03,준중형 해치백,i30 (PD),False,2024-02-22,25560000,카드,1,오프라인,2017-03,대한민국,0,0
홍성우,1999-06-02,26,남,1012345678,honggildong21@himedia.co.kr,울산광역시 남구 달동 23-5,gildong021,2023-08-18,준대형 suv,Palisade (LX2),False,2023-09-30,59460000,카드,2,온라인,2018-12,대한민국,1,1
홍수진,1970-03-09,55,남,1001234567,hongsujin39@himedia.co.kr,인천광역시 남동구 구월동 88-10,sujin039,2023-03-03,준대형 세단,Grandeur (GN7 HEV),True,2023-03-03,52410000,카드,1,오프라인,2022-01,대한민국,2,5
홍지민,1980-11-10,45,남,1090123456,hongjimin9@himedia.co.kr,경상북도 포항시 남구 대도동 19-2,jimin009,2024-07-07,준대형 세단,Grandeur (GN7 HEV),True,2024-07-08,52410000,카드,1,온라인,2022-01,대한민국,2,5
김하윤,1960-03-12,65,남,545556645,sunoggim@cagim.kr,부산광역시 해운대구 우동 101-12,seonyeongmun,2024-09-26,준대형 세단,Avante (CN7 N),False,2023-05-04,82080000,카드,2,오프라인,2020-05,대한민국,1,2
이지원,1959-11-17,66,여,325666729,lju@nate.com,경기도 수원시 영통구 원천동 12-34,gimgyeongja,2022-03-22,중형 suv,Santa-Fe ™,False,2024-07-04,72110000,카드,1,온라인,2018-01,대한민국,1,2
박미영,1980-11-09,45,남,410658495,eungyeonggim@hanmail.net,충청남도 천안시 동남구 성성동 22-3,gyun,2024-05-09,대형 suv,G80 (RG3),False,2024-01-07,38660000,카드,1,온라인,2020-03,대한민국,2,5
이정수,1996-12-13,29,남,521624161,rcoe@daum.net,울산광역시 남구 달동 23-5,namsumin,2023-05-25,준중형 세단,Santa-Fe ™,False,2024-07-04,37700000,현금,5,온라인,2018-01,대한민국,3,4
최현지,1994-06-26,31,남,7003920424,yeweon24@ju.kr,대구광역시 수성구 범어동 55-3,jihungim,2022-07-22,준대형 세단,Avante (CN7 N),False,2023-05-22,79860000,카드,1,오프라인,2020-05,대한민국,1,1
김도현,1987-01-09,38,남,321271765,jeongsig00@jusighoesa.com,경상북도 포항시 남구 대도동 19-2,sumin33,2024-09-27,준중형 세단,NEXO (FE),True,2023-06-17,49930000,현금,4,오프라인,2018-01,대한민국,3,4
송성민,1976-01-24,49,여,410127092,gangeunji@yuhanhoesa.net,경기도 성남시 분당구 정자동 56-78,bagogsun,2022-11-05,대형 suv,NEXO (FE),True,2023-08-27,54910000,현금,4,온라인,2018-01,대한민국,3,3
김민지,1998-01-27,27,남,416882563,ki@live.com,경상북도 포항시 남구 대도동 19-2,jia18,2024-09-22,대형 suv,Avante (CN7 N),False,2023-09-19,53760000,현금,2,오프라인,2020-05,대한민국,2,5
이성현,1974-04-23,51,남,549025788,minjunhan@jusighoesa.com,울산광역시 남구 달동 23-5,lgang,2023-02-04,중형 suv,G70 (IK),False,2023-05-22,57450000,현금,1,온라인,2017-09,대한민국,1,2
박주원,1956-02-25,69,남,214485380,ugim@munio.net,인천광역시 남동구 구월동 88-10,coehyeonji,2023-12-19,픽업트럭,Santa-Fe ™,False,2024-11-28,75020000,현금,5,오프라인,2018-01,대한민국,3,3
김민석,1980-04-09,45,여,316731720,lgim@yuhanhoesa.net,경기도 수원시 영통구 원천동 12-34,hongjiweon,2023-02-20,대형 suv,Santa-Fe ™,False,2024-06-03,68050000,현금,2,오프라인,2018-01,대한민국,1,2
조영순,1980-12-19,45,여,328719659,jaeho07@yu.com,울산광역시 남구 달동 23-5,jihyeon92,2023-02-22,중형 suv,Santa-Fe ™,False,2025-02-13,89190000,현금,2,오프라인,2018-01,대한민국,1,2
김옥자,1967-03-24,58,여,1006319882,jeongsu99@yuhanhoesa.com,대전광역시 유성구 봉명동 44-2,yunseosong,2022-12-03,중형 suv,Avante (CN7 N),False,2023-04-05,88480000,카드,1,온라인,2020-05,대한민국,1,2
정지영,1977-11-10,48,여,553067917,gyeonghyi68@isongseo.kr,전라북도 전주시 완산구 덕진동 33-7,ni,2024-12-16,준중형 세단,NEXO (FE),True,2024-04-17,65090000,현금,2,온라인,2018-01,대한민국,1,2
최성호,1962-07-02,63,남,446770796,seojuncoe@oyun.com,대구광역시 수성구 범어동 55-3,junyeongcoe,2022-12-19,픽업트럭,Santa-Fe ™,False,2025-02-13,76580000,카드,5,온라인,2018-01,대한민국,3,3
서은정,2005-03-04,20,여,321706440,ugim@daum.net,서울특별시 종로구 청운동 67-89,seoyeon90,2024-07-07,소형 해치백,G70 (IK),False,2024-08-31,57120000,현금,5,온라인,2017-09,대한민국,3,4
구도현,1985-06-07,40,남,544875794,sanghyeon16@ju.com,대전광역시 유성구 봉명동 44-2,jihyeon11,2024-08-28,준대형 세단,G80 (RG3),False,2023-12-11,60270000,현금,2,온라인,2020-03,대한민국,1,1
안민수,1965-07-21,60,남,647594881,yeonghyi48@yu.kr,충청남도 천안시 동남구 성성동 22-3,pi,2024-08-24,소형 해치백,NEXO (FE),True,2023-06-07,43120000,현금,1,오프라인,2018-01,대한민국,2,5
남예진,1972-09-24,53,남,424963606,sanghun79@hanmail.net,대구광역시 수성구 범어동 55-3,whan,2024-08-14,준대형 세단,Avante (CN7 N),False,2024-04-16,77400000,현금,1,오프라인,2020-05,대한민국,1,2
엄재현,1999-03-22,26,남,521541236,gangjunhyeog@gmail.com,충청남도 천안시 동남구 성성동 22-3,jidonghyeon,2024-02-04,준중형 세단,NEXO (FE),True,2024-02-11,67120000,현금,1,온라인,2018-01,대한민국,1,1
서미정,1961-05-05,64,여,419669178,jeongsug39@bagjang.net,대구광역시 수성구 범어동 55-3,seunghyeongim,2023-07-28,소형 해치백,G70 (IK),False,2023-04-15,50710000,현금,3,오프라인,2017-09,대한민국,3,3
김상훈,1954-03-13,71,남,635326061,ogsunmun@nate.com,충청남도 천안시 동남구 성성동 22-3,lgim,2024-11-04,준대형 세단,G70 (IK),False,2024-12-19,87880000,현금,4,오프라인,2017-09,대한민국,3,3
김정수,2002-09-24,23,여,419600393,rbag@yuhanhoesa.com,전라북도 전주시 완산구 덕진동 33-7,minjaegim,2025-01-08,대형 suv,Avante (CN7 N),False,2024-06-26,79830000,현금,4,오프라인,2020-05,대한민국,3,4
김미경,1984-07-29,41,남,336381854,jugwangsu@jusighoesa.net,경기도 수원시 영통구 원천동 12-34,seohyeon32,2023-07-07,준대형 세단,G70 (IK),False,2023-05-15,79370000,카드,2,오프라인,2017-09,대한민국,1,1
김은영,1978-02-13,47,여,538854603,egang@icoe.com,충청북도 청주시 상당구 낙실동 9-1,sangceolcoe,2023-06-22,대형 suv,G80 (RG3),False,2023-12-09,40770000,현금,3,온라인,2020-03,대한민국,3,3
진아름,2001-04-12,24,여,116663726,bgang@yuhanhoesa.kr,부산광역시 해운대구 우동 101-12,ai,2023-10-27,대형 suv,G70 (IK),False,2024-10-12,60710000,현금,4,오프라인,2017-09,대한민국,3,4
손병철,1975-06-29,50,남,540598995,ogim@yu.com,서울특별시 종로구 청운동 67-89,seonghun39,2025-01-25,준대형 세단,NEXO (FE),True,2024-09-02,37420000,현금,2,온라인,2018-01,대한민국,2,5
윤경희,1973-09-17,52,남,621121913,hyeonugim@yuhanhoesa.com,경상남도 창원시 의창구 봉곡동 48-6,yejungang,2022-12-11,중형 suv,G70 (IK),False,2023-07-20,71520000,현금,5,오프라인,2017-09,대한민국,3,3
이정자,2004-03-16,21,여,1024151251,hgim@daum.net,충청남도 천안시 동남구 성성동 22-3,myeongsug84,2024-02-01,중형 suv,Avante (CN7 N),False,2023-08-26,34130000,현금,5,온라인,2020-05,대한민국,3,4
김현준,1957-10-24,68,남,113451098,rgim@dreamwiz.com,대구광역시 수성구 범어동 55-3,jihye30,2022-05-10,대형 suv,Santa-Fe ™,False,2023-09-16,76700000,현금,4,오프라인,2018-01,대한민국,3,3
최채원,1958-05-01,67,남,535416149,caeweon12@live.com,경상북도 포항시 남구 대도동 19-2,jhan,2024-01-03,준중형 세단,G80 (RG3),False,2024-06-07,57710000,카드,3,오프라인,2020-03,대한민국,3,3
최정호,1987-04-06,38,남,531947742,ei@yu.com,부산광역시 해운대구 우동 101-12,jeonghoi,2024-09-28,대형 suv,Santa-Fe ™,False,2023-09-30,89020000,현금,3,오프라인,2018-01,대한민국,1,1
김지훈,1975-08-30,50,남,647840790,ieunjeong@yu.com,전라북도 전주시 완산구 덕진동 33-7,mjo,2022-11-16,중형 suv,Santa-Fe ™,False,2023-03-18,89450000,현금,1,온라인,2018-01,대한민국,1,2
장정식,1985-04-07,40,남,187215422,gimjunhyeog@live.com,경기도 수원시 영통구 원천동 12-34,hyeonsug93,2022-12-06,픽업트럭,Avante (CN7 N),False,2023-07-07,66280000,카드,5,온라인,2020-05,대한민국,3,4
심성호,1970-01-26,55,여,438880413,pgim@igim.kr,대전광역시 유성구 봉명동 44-2,yujin12,2022-03-27,중형 suv,NEXO (FE),True,2023-12-19,33070000,카드,3,오프라인,2018-01,대한민국,3,3
안경수,1977-01-22,48,남,426727261,seonghyeongim@gmail.com,대구광역시 수성구 범어동 55-3,jeonghyibag,2022-10-10,준대형 세단,NEXO (FE),True,2024-01-08,49550000,현금,2,온라인,2018-01,대한민국,2,5
황민재,1963-02-13,62,남,520485499,jgim@nate.com,전라남도 목포시 부주동 77-8,yeongsuni,2022-11-16,픽업트럭,Avante (CN7 N),False,2024-08-07,36020000,카드,3,오프라인,2020-05,대한민국,3,3
김혜진,1997-04-15,28,남,442876402,sonmijeong@yu.kr,서울특별시 종로구 청운동 67-89,eunji78,2023-11-17,준중형 세단,G80 (RG3),False,2025-01-03,64440000,카드,1,오프라인,2020-03,대한민국,1,1
김서준,1954-06-08,71,남,557950081,mundonghyeon@gimseongi.kr,경상남도 창원시 의창구 봉곡동 48-6,seungminjang,2022-10-27,준대형 세단,G80 (RG3),False,2024-09-18,43750000,카드,2,온라인,2020-03,대한민국,2,5
강서영,1994-01-04,31,여,443296982,songyeongja@dreamwiz.com,서울특별시 종로구 청운동 67-89,caeweon92,2024-07-06,준대형 세단,NEXO (FE),True,2024-04-04,79430000,현금,2,오프라인,2018-01,대한민국,1,1
김지원,1958-06-02,67,남,184287425,minjun91@live.com,광주광역시 서구 치평동 14-7,qcoe,2023-10-09,소형 해치백,G70 (IK),False,2023-10-12,47210000,현금,5,온라인,2017-09,대한민국,3,3
구영자,1972-06-26,53,여,515510008,lhan@hanmail.net,서울특별시 강남구 역삼동 123-45,jeongho77,2022-12-10,대형 suv,Santa-Fe ™,False,2023-11-29,85590000,카드,5,온라인,2018-01,대한민국,3,3
장숙자,1977-04-04,48,여,168461892,sanghyeon29@hanmail.net,울산광역시 남구 달동 23-5,jieuncoe,2024-03-22,픽업트럭,G70 (IK),False,2024-09-20,71210000,카드,2,온라인,2017-09,대한민국,1,2
최순자,1976-06-08,49,남,647176890,seunghyeon10@janggim.com,광주광역시 서구 치평동 14-7,ryuseonghyeon,2022-06-04,중형 suv,G80 (RG3),False,2025-02-08,89790000,현금,2,오프라인,2020-03,대한민국,1,2
류정숙,1985-12-18,40,여,556543324,anjunho@yu.kr,부산광역시 해운대구 우동 101-12,dohyeonhwang,2023-01-10,소형 해치백,G80 (RG3),False,2024-11-03,83120000,카드,2,오프라인,2020-03,대한민국,1,1
김영진,1982-09-08,43,남,310938682,ogjacoe@dreamwiz.com,충청북도 청주시 상당구 낙실동 9-1,jungsu25,2025-02-18,픽업트럭,G80 (RG3),False,2024-11-28,81900000,현금,5,온라인,2020-03,대한민국,3,4
박옥자,1997-09-02,28,남,166973319,ryujihyeon@coei.org,광주광역시 서구 치평동 14-7,donghyeonhwang,2025-02-17,중형 suv,Santa-Fe ™,False,2023-07-13,62020000,카드,4,온라인,2018-01,대한민국,3,4
윤경숙,1997-06-02,28,여,7099689396,geonu77@jusighoesa.com,광주광역시 서구 치평동 14-7,kgim,2024-03-03,픽업트럭,G80 (RG3),False,2023-07-07,79780000,카드,4,오프라인,2020-03,대한민국,3,4
김지영,1971-03-05,54,남,7055211003,seojeonghun@igimyang.net,울산광역시 남구 달동 23-5,anyeonggil,2024-03-21,소형 해치백,NEXO (FE),True,2025-02-21,79430000,현금,3,오프라인,2018-01,대한민국,1,2
이상현,1956-02-23,69,여,433634302,gimminjun@nate.com,서울특별시 종로구 청운동 67-89,haeun00,2023-02-25,준대형 세단,Santa-Fe ™,False,2025-02-23,30270000,현금,3,오프라인,2018-01,대한민국,3,3
김하은,1986-02-12,39,남,317839984,anjeongnam@nate.com,부산광역시 해운대구 우동 101-12,yeongjagim,2023-09-17,준대형 세단,Avante (CN7 N),False,2024-08-14,32780000,현금,5,오프라인,2020-05,대한민국,3,4
류건우,1963-11-23,62,여,511430807,donghyeon65@dreamwiz.com,충청북도 청주시 상당구 낙실동 9-1,haeun06,2022-09-06,중형 suv,Santa-Fe ™,False,2023-12-27,49320000,카드,2,오프라인,2018-01,대한민국,2,5
손지영,2000-03-31,25,남,316944782,baegyeongsu@dreamwiz.com,인천광역시 남동구 구월동 88-10,yangyeongja,2022-04-15,중형 suv,G80 (RG3),False,2024-11-05,76660000,카드,4,온라인,2020-03,대한민국,3,4
김경희,1983-12-18,42,남,616289942,jiyeonggim@nate.com,경기도 성남시 분당구 정자동 56-78,xbag,2024-12-02,준대형 세단,G70 (IK),False,2024-07-01,85860000,현금,2,오프라인,2017-09,대한민국,1,1
김유진,1988-04-18,37,남,634448995,sugjagim@igimmun.kr,인천광역시 남동구 구월동 88-10,jihyeonbag,2023-08-18,소형 해치백,Avante (CN7 N),False,2024-01-23,88130000,카드,5,오프라인,2020-05,대한민국,3,4
장현정,1975-03-27,50,여,552835058,iseonghyeon@yu.kr,경기도 수원시 영통구 원천동 12-34,jungsuyun,2022-11-02,준대형 세단,Santa-Fe ™,False,2023-10-01,79770000,카드,2,온라인,2018-01,대한민국,1,2
서정순,1984-05-24,41,남,647164155,dgweon@yuhanhoesa.com,광주광역시 서구 치평동 14-7,ygim,2023-09-15,중형 suv,G80 (RG3),False,2025-02-05,74040000,현금,1,온라인,2020-03,대한민국,1,1
차상호,1999-11-25,26,남,526382768,jaehogim@hotmail.com,경상북도 포항시 남구 대도동 19-2,pgim,2022-11-08,준중형 세단,Santa-Fe ™,False,2024-11-04,54940000,카드,2,오프라인,2018-01,대한민국,2,5
안주원,1987-11-12,38,여,436657829,seungminjang@hotmail.com,충청남도 천안시 동남구 성성동 22-3,sonyeongceol,2022-10-12,중형 suv,NEXO (FE),True,2024-01-16,72840000,현금,2,온라인,2018-01,대한민국,1,1
이현숙,1977-06-26,48,남,1095402153,jgim@yuhanhoesa.kr,광주광역시 서구 치평동 14-7,anjeonghun,2022-03-25,중형 suv,G80 (RG3),False,2023-06-18,57850000,현금,1,온라인,2020-03,대한민국,1,2
윤예원,1987-05-31,38,남,521488058,eunyeong01@yu.org,울산광역시 남구 달동 23-5,eunyeong65,2023-10-23,픽업트럭,NEXO (FE),True,2023-08-16,57310000,카드,2,오프라인,2018-01,대한민국,1,1
이영진,1981-08-17,44,남,540536661,ihyeonsug@daum.net,대구광역시 수성구 범어동 55-3,bi,2023-08-17,준대형 세단,Avante (CN7 N),False,2024-11-30,45700000,현금,4,온라인,2020-05,대한민국,3,3
김정훈,1991-07-10,34,남,447144098,gyeonghyi99@yuo.com,경상남도 창원시 의창구 봉곡동 48-6,ijeongsu,2022-05-13,준중형 세단,Santa-Fe ™,False,2024-12-05,41850000,카드,2,온라인,2018-01,대한민국,2,5
김은주,1994-04-30,31,여,428045898,yeongsucoe@yu.org,대전광역시 유성구 봉명동 44-2,gimjeonghun,2023-10-31,중형 suv,G70 (IK),False,2024-11-18,87840000,현금,1,오프라인,2017-09,대한민국,1,1
곽건우,1980-02-20,45,남,198733751,gimdoyun@gimgo.org,부산광역시 해운대구 우동 101-12,sugjagim,2023-10-19,준중형 세단,Avante (CN7 N),False,2024-08-31,84100000,현금,3,오프라인,2020-05,대한민국,1,2
이순자,1989-05-27,36,여,424257384,juweoncoe@hotmail.com,경상북도 포항시 남구 대도동 19-2,yeji21,2023-07-27,대형 suv,NEXO (FE),True,2023-04-27,82050000,카드,5,온라인,2018-01,대한민국,3,4
안민재,1969-11-21,56,여,634245125,sgim@hanmail.net,경기도 수원시 영통구 원천동 12-34,seohyeon66,2022-06-05,중형 suv,G70 (IK),False,2023-08-19,60860000,카드,5,온라인,2017-09,대한민국,3,3
김지현,1966-09-01,59,여,165494266,vgang@gangbag.com,대전광역시 유성구 봉명동 44-2,cgweon,2023-07-01,중형 suv,Santa-Fe ™,False,2023-05-29,71220000,현금,4,온라인,2018-01,대한민국,3,3
최현준,1966-11-27,59,남,442301731,yi@gimgim.org,대구광역시 수성구 범어동 55-3,gimsanghyeon,2024-09-02,준대형 세단,G70 (IK),False,2024-03-21,33690000,현금,4,오프라인,2017-09,대한민국,3,3
권동현,1981-02-16,44,여,636269842,hi@hwanggim.kr,울산광역시 남구 달동 23-5,jiagim,2024-03-09,픽업트럭,NEXO (FE),True,2025-01-31,37190000,현금,4,온라인,2018-01,대한민국,3,3
심정희,1996-12-16,29,남,418472351,gimmiyeong@live.com,인천광역시 남동구 구월동 88-10,junseou,2022-09-10,픽업트럭,G70 (IK),False,2024-12-06,36260000,현금,5,온라인,2017-09,대한민국,3,4
